TAXONNAME,GENUS,SPECIES,SPCODE,LENGTH_MM,SIZEREFERENCE,DIET
Paraeuchaeta tumidula,Paraeuchaeta,tumidula,104573,4.34,"Bradford Haakonssen & Jillett 1983",Carnivore
Microcalanus pygmaeus,Microcalanus,pygmaeus,104513,0.94,Razouls 2012,Herbivore
Tortanus (Tortanus) gracilis,Tortanus (Tortanus),gracilis,720560,1.725,Razouls 2013,Carnivore
Candacia discaudata,Candacia,discaudata,346235,1.71,Razouls 2012,Carnivore
Metridia gerlachei,Metridia,gerlachei,344689,2.58,Boltovskoy 1999,Omnivore
Microcalanus pygmaeus,Microcalanus,pygmaeus,104513,0.86,Razouls 2012,Herbivore
Scolecithricella minor,Scolecithricella,minor,104811,1.33,Boltovskoy 1999,Herbivore
Candacia truncata,Candacia,truncata,220916,1.775,Boltovskoy 1999,Carnivore
Anawekia robusta,Anawekia,robusta,346092,0.85,Razouls 2013,
Pontellopsis herdmani,Pontellopsis,herdmani,220930,1.88,Razouls 2013,Carnivore
Acrocalanus longicornis,Acrocalanus,longicornis,104646,0.95,Boltovskoy 1999,Herbivore
Leucosiid zoea,,,106758,,,
Pontellopsis spp.,Pontellopsis,spp.,104211,1.64,Razouls 2013,Carnivore
Parategastes spp.,Parategastes,spp.,115445,3.05,Saetang Thanida and Supiyanit Maiphae. 2015,Omnivore
Neocalanus gracilis,Neocalanus,gracilis,104471,3.15,Boltovskoy 1999,Herbivore
Subeucalanus spp.,Subeucalanus,spp.,104173,5.3,,Herbivore
Brachiolaria larvae,,,148743,,,
Acartia (Odontacartia) pacifica,Acartia (Odontacartia),pacifica,346059,1,Razouls 2013,Omnivore
Pyrosomatidae ,,,137224,,,
Abylopsis eschscholtzii,Abylopsis,eschscholtzii,196656,,,
Heterorhabdus spinifrons,Heterorhabdus,spinifrons,104583,3.125,Boltovskoy 1999,Carnivore
Scaphocalanus brevicornis,Scaphocalanus,brevicornis,104790,4.832,Razouls 2013,Herbivore
Ostracod gravid,,,1078,,,
Brachyuran megalopa,,,106673,,,
Ascampbelliella spp.,Ascampbelliella,spp.,415082,,,
Aegisthus mucronatus,Aegisthus,mucronatus,115509,1.55,Razouls 2013,Omnivore
Arietellus pavoninus,Arietellus,pavoninus,104350,5.025,unknown,Omnivore
Chiridius poppei,Chiridius,poppei,104293,1.895,Boltovskoy 1999,Omnivore
Chirundina streetsii,Chirundina,streetsii,104294,4.85,Boltovskoy 1999,Omnivore
Conaea rapax,Conaea,rapax,128917,0.935,Boltovskoy 1999,Omnivore
Gaetanus pungens,Gaetanus,pungens,342623,3.2,Razouls 2013,Omnivore
Lucicutia clausi,Lucicutia,clausi,104595,1.85,Boltovskoy 1999,Omnivore
Nullosetigera helgae,Nullosetigera,helgae,361514,2.515,Razouls 2013,
Oncaea prendeli complex,Oncaea,prendeli complex,128947,0.3,Razouls 2013,Omnivore
Oncaea schmelvi,Oncaea,schmelvi,128951,0.595,Razouls 2013,Omnivore
Oncaea tenuimana,Oncaea,tenuimana,354035,0.66,Razouls 2013,Omnivore
Paracalanidae f,,,104093,0.9,,Herbivore
Pleuromamma indica,Pleuromamma,indica,220900,2.21,Razouls 2013,Omnivore
Pleuromamma indica,Pleuromamma,indica,220900,2.17,Razouls 2013,Omnivore
Scolecithricella spp.,Scolecithricella,spp.,104229,1.27,,Herbivore
Spinoncaea spp.,Spinoncaea,spp.,348050,0.31,Razouls 2013,Omnivore
Acartia (Acanthacartia) fossae,Acartia (Acanthacartia),fossae,345933,1.105,Razouls 2013,Omnivore
Pseudodiaptomus mertoni,Pseudodiaptomus,mertoni,355172,1.105,Razouls 2012,Omnivore
Triconia conifera,Triconia,conifera,128957,1.11,Razouls 2013,Omnivore
Palaemonidae j,,,106788,,,
Triconia minuta complex,Triconia,minuta complex,128960,0.605,Razouls 2013,Omnivore
Calanoides spp.,Calanoides,spp.,104151,2.465,,Herbivore
Pachyptilus spp.,Pachyptilus,spp.,104142,5.31,Boltovskoy 1999,
Paguridae larvae,,,106738,,,
Gladioferens spp.,Gladioferens,spp.,347183,1.23,Taw 1975,Omnivore
Undeuchaeta plumosa,Undeuchaeta,plumosa,104343,3.525,Boltovskoy 1999,Carnivore
Salpa fusiformis,Salpa,fusiformis,137272,,,
Saphirella tropica,Saphirella,tropica,196788,1.102,Razouls 2013,Carnivore
Pleuromamma quadrungulata,Pleuromamma,quadrungulata,104641,4.02,Boltovskoy 1999,Omnivore
Oithona australis,Oithona,australis,353988,0.595,Razouls 2013,Herbivore
Fritillaria borealis f. sargassi,Fritillaria,borealis f. sargassi,342475,,,
Penaeus merguiensis,Penaeus,merguiensis,210377,,,
Ciliate,,,11,,,
Boeckella triarticulata,Boeckella,triarticulata,349252,1.61,Bayly AG 1961,Omnivore
Candacia worthingtoni,Candacia,worthingtoni,346243,1.8,Razouls 2013,Carnivore
Jasus edwardsii,Jasus,edwardsii,382879,,,
Calocalanus elongatus,Calocalanus,elongatus,104653,0.71,,Herbivore
Lycaea pachypoda,Lycaea,pachypoda,236573,,,
Fritillaria haplostoma,Fritillaria,haplostoma,103382,,,
Salpa aspera,Salpa,aspera,137270,,,
Gammarus pulex,Gammarus,pulex,234074,,,
Ridgewayia spp.,Ridgewayia,spp.,104218,0.665,,Omnivore
Pisidia dispar,Pisidia,dispar,425841,,,
Cyclosalpa pinnata,Cyclosalpa,pinnata,137260,,,
Sagitta serratodentata atlantica,Sagitta,serratodentata atlantica,379365,,,
Cyclosalpa floridana,Cyclosalpa,floridana,137258,,,
Mollusc veliger,,,51,,,
Keratella quadrata quadrata,Keratella,quadrata quadrata,148319,,,
Althoffia tumida,Althoffia,tumida,103393,,,
Gladioferens spinosus,Gladioferens,spinosus,351945,1.23,,Omnivore
Diacria trispinosa,Diacria,trispinosa,139045,,,
Spionidae,,,913,0.31,,
Siriella nodosa,Siriella,nodosa,161464,,,
Stephos spp.,Stephos,spp.,104239,0.775,,Omnivore
Scolecitrichidae j,,,104103,2.1,,Herbivore
Acartia (Acanthacartia) pietschmani,Acartia (Acanthacartia),pietschmani,416442,1.15,,Omnivore
Pelagia noctiluca,Pelagia,noctiluca,135305,,,
Pleurobrachia pileus,Pleurobrachia,pileus,106386,,,
Metcalfina hexagona,Metcalfina,hexagona,266799,,,
Traustedtia multitentaculata,Traustedtia,multitentaculata,137282,,,
Stylocheiron abbreviatum,Stylocheiron,abbreviatum,110699,,,
Bradyidius spp.,Bradyidius,spp.,104115,1.38,,Omnivore
Nematoscelis difficilis,Nematoscelis,difficilis,237861,,,
Carybdea rastonii,Carybdea,rastonii,287143,,,
Beroe ovata,Beroe,ovata,106362,,,
Boeckella spp.,Boeckella,spp.,346853,1.75,,Omnivore
Metis jousseaumei,Metis,jousseaumei,220672,1,unknown,Omnivore
Boeckella fluvialis,Boeckella,fluvialis,349227,1.7,Dwight C. 1924.,Omnivore
Oncaeidae f,,,128586,0.7,,Omnivore
Mesocyclops spp.,Mesocyclops,spp.,156881,1.113,Swe Thwin,Carnivore
Streetsia steenstrupi,Streetsia,steenstrupi,421625,,,
Oxycephalus clausi,Oxycephalus,clausi,220731,,,
Calamorhynchus pellucidus,Calamorhynchus,pellucidus,236582,,,
Scina crassicornis,Scina,crassicornis,103279,,,
Paraphronima crassipes,Paraphronima,crassipes,236596,,,
Primno johnsoni,Primno,johnsoni,421605,,,
Streetsia porcella,Streetsia,porcella,236593,,,
Rhabdonella apophysata,Rhabdonella,apophysata,427512,,,
Leprotintinnus nordqvisti,Leprotintinnus,nordqvisti,427570,,,
Pontellidae f,,,104097,1.69,,Carnivore
Hemityphis spp.,Hemityphis,spp.,236618,,,
Euphysa spp.,Euphysa,spp.,117095,,,
Triconia dentipes complex,Triconia,dentipes complex,128958,0.495,,Omnivore
Triconia denticula,Triconia,denticula,590076,0.68,,Omnivore
Euphausiid furcilia FV,,,110671,,,
Scaphocalanus echinatus,Scaphocalanus,echinatus,104793,2,,Herbivore
Kuhnia spp.,Kuhnia,spp.,119369,,,
Echinopluteus,,,1806,,,
Axiidea zoea,,,477324,,,
Scolecitrichopsis ctenopus,Scolecitrichopsis,ctenopus,361576,,,
Nanomia bijuga,Nanomia,bijuga,135495,,,
Lysmata spp.,Lysmata,spp.,106992,,,
Pontellina spp.,Pontellina,spp.,104210,,,
Codonellopsis ostenfeldi,Codonellopsis,ostenfeldi,427448,,,
Alpheid zoea,,,106776,,,
Labidocera  detruncata,Labidocera ,detruncata,104730,2.5,,
Parapronoe campbelli,Parapronoe,campbelli,550624,,,
Lubbockia squillimana,Lubbockia,squillimana,128894,,,
Rhabdosoma whitei,Rhabdosoma,whitei,205957,,,
Serratosagitta pacifica,Serratosagitta,pacifica,266268,,,
Calocalanus minutus,Calocalanus,minutus,346221,,,
Neogloboquadrina incompta,Neogloboquadrina,incompta,113474,,,
Neogloboquadrina pachyderma,Neogloboquadrina,pachyderma,113458,,,
Scaphocalanus farrani,Scaphocalanus,farrani,345286,,,
Travisiopsis levinseni,Travisiopsis,levinseni,131580,,,
Clione spp.,Clione,spp.,137793,,,
Hyperoche medusarum,Hyperoche,medusarum,103256,,,
Spongodiscidae (Trigonal),,,345858,,,
Radiolarian P,,,,,,
Euphausiid furcilia FVI,,,110671,,,
Euchaetomera spp.,Euchaetomera,spp.,119857,,,
Sagitta spp.,Sagitta,spp.,264951,,,
Thysanopoda spp.,Thysanopoda,spp.,110680,,,
Mollusc larvae,,,51,,,
Acanthephyridae Zoea,,,585943,,,
